,"icon01_nx_[12, 1]","icon01_ny_[12, 1]","icon02_nx_[12, 1]","icon02_ny_[12, 1]","icon03_nx_[12, 1]","icon03_ny_[12, 1]","icon04_nx_[12, 1]","icon04_ny_[12, 1]","icon05_nx_[12, 1]","icon05_ny_[12, 1]","icon06_nx_[12, 1]","icon06_ny_[12, 1]","icon07_nx_[12, 1]","icon07_ny_[12, 1]","icon08_nx_[12, 1]","icon08_ny_[12, 1]","icon11_nx_[12, 1]","icon11_ny_[12, 1]","icon15_nx_[12, 1]","icon15_ny_[12, 1]",cluster_label,date
131,0.227972849,-0.246309193,-1.351927492,-0.733823988,-0.062196411,0.245342873,0.361322464,0.536217085,-0.107082066,0.091998139,-0.039037655,0.326633296,0.355159247,0.200212455,0.447856528,-0.432461097,-0.183842139,-0.103984529,0.399858137,-0.873668819,1,2014/01
132,0.05621207,-0.29825915,-1.374401447,-0.554099404,-0.146240286,0.260285129,0.431981574,0.506712141,-0.082491451,0.086873995,-0.011147539,0.329682477,0.38460573,0.148237194,0.420962488,-0.507033198,-0.353984294,0.008189927,0.254991399,-0.891305994,1,2014/02
133,0.007155349,-0.316908501,-1.380066626,-0.266362939,-0.318623612,0.318940755,0.149843173,0.486354742,-0.058834656,0.16915129,0.035854776,0.323748593,0.200082734,0.066630466,0.219692971,-0.56910492,-0.437716896,0.075752707,0.00136566,-0.927744346,2,2014/03
134,-0.248649304,-0.35395416,-1.279587505,0.180373797,-0.284632534,0.425181327,-0.011147539,0.474044146,-0.194425441,0.19462018,-0.086475753,0.357707113,-0.010338228,0.033823296,0.026890096,-0.632340645,-0.545168546,0.15504408,-0.202954338,-0.923341379,2,2014/04
135,-0.327214764,-0.243323272,-1.375646541,0.255882161,-0.061138081,0.427800334,-0.095066905,0.427686464,-0.302997677,0.135559683,-0.207810207,0.316536836,-0.173196581,0.148047411,-0.03449306,-0.577784333,-0.556623415,0.262461308,-0.403290034,-0.816278413,2,2014/05
136,-0.433483575,-0.099366474,-1.437154207,0.428344379,-0.050430269,0.443501721,0.246213483,0.392500679,-0.256929182,0.293168211,-0.230782199,0.392462723,-0.147298617,0.113544845,-0.062134157,-0.582452997,-0.539005329,0.29235847,-0.421655177,-0.765568372,2,2014/06
137,-0.746936101,-0.080830993,-1.747307233,0.739171119,-0.054725845,0.449562128,0.243910058,0.401293962,-0.162613278,0.383732701,-0.187639677,0.441414107,0.09337814,0.085709993,-0.038664126,-0.580706993,-0.387913118,0.383492309,-0.42775614,-0.6300759,2,2014/07
138,-0.901576831,0.151792464,-1.787959566,0.972819404,-0.097681603,0.462935509,0.016680322,0.366171439,0.037473399,0.438137186,0.552008678,0.235765154,0.529472469,0.021575961,-0.030571012,-0.570319532,-0.200837678,0.449789867,-0.526429875,-0.410522172,2,2014/08
139,-0.816350116,0.352393187,-1.723961712,1.58641343,-0.151843211,0.464061556,-0.159562797,0.393867118,0.272796249,0.335920015,1.41554393,-0.012142167,0.699988153,-0.186502216,-0.122645747,-0.562677599,-0.179359798,0.449511519,-0.650441282,-0.270158601,2,2014/09
140,-0.6856152,0.510216802,-1.438025773,1.892040114,-0.074460592,0.446728034,-0.27193257,0.452345613,0.636239318,0.238738422,1.400291524,-0.430158396,0.774756074,-0.365859886,-0.300445233,-0.484777968,-0.112996265,0.486493916,-0.697568106,-0.257860657,2,2014/10
141,-0.391835165,0.502941784,-1.041214173,2.126422227,0.280578089,0.413060514,-0.1800446,0.455926187,0.576848312,0.004773832,1.454888915,-0.775525658,0.633562364,-0.536070011,-0.329704953,-0.471720892,-0.043893523,0.492807367,-1.011020633,-0.153821568,2,2014/11
142,-0.226486623,0.598807548,-0.649569716,2.311068519,0.280640344,0.369321838,-0.022291134,0.483773692,0.544413602,-0.073353539,1.257914974,-0.809054004,0.473069691,-0.600899913,-0.324973594,-0.424869774,-0.012517143,0.500499908,-0.899646935,-0.009687639,2,2014/12
143,-0.163733863,0.642622136,-0.371415617,2.325340207,0.324654433,0.22289786,0.076258091,0.443577634,0.467964803,-0.112284376,0.775067348,-1.091223498,0.057706184,-0.64447411,-0.290608987,-0.304193034,-0.087160555,0.533952341,-0.352490181,0.134092028,2,2015/01
144,-0.067612572,0.640382696,-0.273426684,2.355477761,0.234634104,0.178286183,0.296079515,0.393512856,0.043885635,-0.144003456,-0.348879407,-1.102167656,-0.306608451,-0.620055353,-0.144932937,-0.307027129,-0.255808597,0.562508369,-0.179422053,0.089303219,2,2015/02
145,-0.029637192,0.640724306,-0.331634849,2.516755429,-0.106770792,0.175477393,0.307970167,0.390767327,0.005349962,-0.126113237,-1.458258557,-0.877375915,-0.40876845,-0.585805832,-0.205070999,-0.250244029,-0.408083648,0.572073437,-0.162800042,0.088151868,2,2015/03
146,0.028757738,0.630627845,-0.081682139,2.480342381,-0.273737957,0.20035163,0.083790912,0.296710829,-0.287184977,-0.081703995,-1.70428922,-0.63501026,-0.396442015,-0.438078677,-0.29658544,-0.179265154,-0.645211885,0.693294221,-0.121089378,0.103827951,2,2015/04
147,0.208238102,0.603412951,0.264889899,2.393358465,-0.330825538,0.300936666,-0.155578495,0.305086589,-0.180418129,-0.081197907,-1.636805101,-0.210275711,-0.161928476,-0.400995061,-0.230346416,-0.069545225,-0.624232044,0.95943337,-0.147174107,0.116087939,2,2015/05
